id	T7A	T7B	T7C
GO:0003856	9.45835	18.1819	2.023
GO:0003857	1e-05	1e-05	0.172705
GO:0003861	32.7989	50.8153	5.11868
GO:0003862	10.3715	16.5553	3.44379
GO:0003863	14.7641	6.9546	142.466
GO:0003864	18.6951	17.4858	32.1491
GO:0003866	52.7328	54.9409	12.841
GO:0003867	0.079748	1e-05	0.0217764
GO:0003871	0.0580519	0.120138	0.0427751
GO:0003872	315.56	427.652	246.242
GO:0003879	1.07263	0.569185	3.47225
GO:0003882	1e-05	1e-05	0.0402961
GO:0003883	43.9147	48.9384	85.0452
GO:0003886	0.14213	1e-05	1e-05
GO:0003887	249.633	251.833	208.94
GO:0003896	60.9245	71.8558	31.9117
GO:0003899	219.41	286.284	315.524
GO:0003904	0.151828	0.196403	0.265935
GO:0003906	64.016	57.4055	43.758
GO:0003908	2.62726	1.01576	1e-05
GO:0003909	0.33505	1e-05	0.090241
GO:0003910	0.117502	0.060769	0.110778
GO:0003911	12.25	13.9555	11.2177
GO:0003917	22.6093	31.9729	25.3989
GO:0003918	72.4523	79.4752	51.9641
GO:0003919	21.7148	25.8023	13.7662
GO:0003922	43.3631	57.3625	55.8796
GO:0003924	623.205	833.978	516.442
GO:0003933	0.0558868	1e-05	0.0602254
GO:0003934	39.3276	54.1174	23.8375
GO:0003935	9.7049	14.1421	2.5136
GO:0003937	2.16578	2.87719	1.77714
GO:0003938	77.2617	98.2007	76.3286
GO:0003939	11.3134	14.1858	1.04194
GO:0003941	0.127967	1e-05	0.311432
GO:0003942	11.4758	9.99179	3.32244
GO:0003949	14.147	15.8037	9.34921
GO:0003951	71.8881	86.9837	38.0711
GO:0003952	67.867	71.3757	108.632
GO:0003954	39.1071	53.0885	16.142
GO:0003957	0.07208	1e-05	0.0953691
GO:0003960	1e-05	1e-05	0.0582811
GO:0003961	9.78537	11.5092	1.46716
GO:0003962	1e-05	1e-05	0.0480734
GO:0003963	0.208752	0.216099	0.281003
GO:0003977	39.6301	49.9847	23.5292
GO:0003978	23.1202	27.4436	2.80024
GO:0003979	7.76041	9.02206	2.85264
GO:0003983	10.0443	17.7693	3.41416
GO:0003984	56.9879	82.7444	12.547
GO:0003985	2.51143	2.18932	26.0746
GO:0003987	0.128914	0.603863	0.383591
GO:0003988	0.0881829	1e-05	0.0471013
GO:0003989	28.977	46.0647	42.5974
GO:0003991	3.07382	2.99197	0.871981
GO:0003992	1.84282	3.50888	1.36353
GO:0003993	22.903	21.6924	20.2842
GO:0003994	13.5628	12.6957	1.11551
GO:0003995	0.0908442	1e-05	0.178829
GO:0003999	56.7846	84.4916	88.2354
GO:0004000	1e-05	1e-05	0.028533
GO:0004003	45.9459	49.5754	21.3563
GO:0004004	0.14619	1e-05	0.160625
GO:0004008	12.8348	6.27298	15.9607
GO:0004013	38.2366	44.5623	21.1712
GO:0004014	237.286	260.647	109.31
GO:0004015	0.488592	0.0762647	0.10441
GO:0004016	1e-05	1e-05	1e-05
GO:0004017	19.5207	24.1066	53.9055
GO:0004018	16.5587	23.2638	7.46453
GO:0004019	38.9489	42.6664	32.5895
GO:0004020	16.2624	27.1204	0.225858
GO:0004021	1e-05	1e-05	0.0446465
GO:0004022	9.79498	16.1959	0.750704
GO:0004029	8.50823	7.17812	9.20205
GO:0004030	1.49279	2.94146	0.229819
GO:0004033	1e-05	1e-05	0.0585242
GO:0004034	1e-05	1e-05	0.0545626
GO:0004038	1e-05	1e-05	0.0191516
GO:0004040	0.83776	0.933472	1.68811
GO:0004042	2.72961	4.14886	1.1043
GO:0004044	1.30908	2.69591	1.86755
GO:0004045	10.0405	14.3745	6.36462
GO:0004047	115.231	83.1919	124.331
GO:0004048	61.0337	28.4774	4.33166
GO:0004049	23.5143	8.84292	1.55218
GO:0004055	1.64106	2.45821	1.17517
GO:0004056	1.24525	2.88611	1.83717
GO:0004061	8.93453	13.0764	15.886
GO:0004065	0.0299506	1e-05	0.0322758
GO:0004066	0.393102	0.294744	0.134644
GO:0004067	17.6332	18.1148	29.9682
GO:0004068	38.7524	41.5762	32.504
GO:0004069	45.1778	29.3386	50.4774
GO:0004070	8.27571	6.44138	2.58926
GO:0004071	28.164	40.0307	11.4358
GO:0004072	11.6974	14.9357	1.67487
GO:0004073	9.45118	7.94898	2.6359
GO:0004075	0.422421	0.175073	0.223792
GO:0004076	0.219803	0.287043	0.059788
GO:0004077	339.463	176.381	115.225
GO:0004088	6.90132	9.60753	2.16722
GO:0004089	0.412813	0.229307	0.189401
GO:0004096	1e-05	1e-05	0.0460319
GO:0004106	0.306859	1e-05	0.237451
GO:0004107	18.0742	26.1658	6.57233
GO:0004108	1e-05	1e-05	0.0206827
GO:0004109	2.98933	5.12201	0.595133
GO:0004112	0.0499327	1e-05	0.04924
GO:0004113	20.1844	21.541	12.351
GO:0004121	0.0854314	1e-05	0.0234048
GO:0004124	651.524	951.259	13.9511
GO:0004125	13.8159	16.9223	14.1724
GO:0004126	12.621	22.0696	10.7453
GO:0004127	41.3772	70.0256	29.1597
GO:0004129	1e-05	1e-05	0.196595
GO:0004130	0.071674	1e-05	0.198613
GO:0004133	0.148355	1e-05	0.079936
GO:0004134	6.03654	8.18431	1.11361
GO:0004135	6.03654	8.18431	1.08846
GO:0004139	23.142	36.7928	21.7813
GO:0004140	12.4949	18.9319	12.0787
GO:0004141	1e-05	1e-05	0.0830956
GO:0004146	21.8931	34.7584	4.66723
GO:0004148	3.26326	2.76564	1.81986
GO:0004149	53.072	37.4275	202.561
GO:0004150	7.03361	8.11743	2.14257
GO:0004151	11.1362	10.3704	4.72378
GO:0004152	4.48253	5.48275	1.00087
GO:0004156	16.2992	24.6489	11.6509
GO:0004159	0.0414076	1e-05	1e-05
GO:0004160	14.1144	21.5619	2.69228
GO:0004161	1e-05	1e-05	0.129589
GO:0004164	0.139875	1e-05	1e-05
GO:0004165	1e-05	1e-05	0.0357513
GO:0004170	7.89036	13.9657	6.86179
GO:0004175	0.453319	0.781783	0.691475
GO:0004176	30.5671	33.9929	20.5285
GO:0004177	69.7048	73.8769	39.1428
GO:0004180	1e-05	1e-05	0.0897063
GO:0004181	24.7139	23.6485	33.8926
GO:0004190	114.689	157.683	129.999
GO:0004222	362.198	314.493	298.488
GO:0004252	790.361	631.27	528.585
GO:0004298	0.82689	1.07172	0.790368
GO:0004300	1e-05	1e-05	0.0966572
GO:0004309	0.0648178	1e-05	0.0349249
GO:0004314	4.24667	11.3359	4.29596
GO:0004315	60.8731	78.6508	58.1247
GO:0004316	22.4812	21.9544	124.386
GO:0004318	5.3981	9.73149	1.23664
GO:0004322	0.27587	1e-05	1e-05
GO:0004324	0.453319	1e-05	0.0814186
GO:0004325	1e-05	1e-05	0.119552
GO:0004326	49.7731	67.9008	79.2327
GO:0004329	80.5289	41.7646	119.647
GO:0004332	185.44	253.916	70.5795
GO:0004333	0.06784	1e-05	1e-05
GO:0004337	8.69064	13.6808	2.82965
GO:0004340	36.5988	38.3485	31.9038
GO:0004342	1e-05	1e-05	0.244256
GO:0004345	0.0680204	1e-05	0.0366505
GO:0004347	49.028	48.599	104.263
GO:0004348	4.47595	2.62324	1.10134
GO:0004349	9.75601	13.8472	1.34997
GO:0004350	23.6101	35.5493	9.73207
GO:0004351	1e-05	1e-05	0.27867
GO:0004352	121.684	174.766	4.32724
GO:0004353	42.0628	24.2408	21.4938
GO:0004355	12.0713	4.7306	0.40753
GO:0004356	139.119	92.2578	92.8436
GO:0004357	1e-05	1e-05	0.0496775
GO:0004358	2.72961	4.14886	1.1043
GO:0004359	3.56647	3.31775	4.05708
GO:0004360	11.7986	17.737	19.441
GO:0004362	0.0750119	1e-05	0.0403933
GO:0004363	0.338929	1e-05	0.0606872
GO:0004364	1e-05	1e-05	0.197665
GO:0004365	388.846	546.388	89.8909
GO:0004367	5.71376	8.36484	1.81461
GO:0004370	22.529	19.7167	15.8454
GO:0004371	39.0635	40.5883	44.0015
GO:0004372	48.212	64.9289	25.3314
GO:0004373	33.0288	41.8189	28.4469
GO:0004375	151.15	101.139	476.331
GO:0004385	47.9139	48.9749	12.9047
GO:0004386	149.244	143.155	132.18
GO:0004399	2.57124	3.66701	6.96807
GO:0004400	3.3081	1.96286	4.66186
GO:0004401	9.03607	17.6751	8.75213
GO:0004410	0.0879123	0.18198	1e-05
GO:0004412	11.865	14.3564	2.80816
GO:0004413	0.115202	1e-05	1e-05
GO:0004414	0.333381	0.40284	0.120013
GO:0004416	0.148851	1e-05	0.226611
GO:0004417	1e-05	0.0703838	0.0366505
GO:0004418	4.38637	3.26552	0.294711
GO:0004420	1e-05	0.357427	0.0465666
GO:0004421	1e-05	0.259319	0.189037
GO:0004422	22.5036	23.3354	11.2252
GO:0004424	9.9759	14.39	4.49285
GO:0004425	61.7953	24.0192	2.8671
GO:0004427	135.248	83.3802	350.8
GO:0004450	32.8214	47.411	2.75644
GO:0004452	1e-05	1e-05	0.121836
GO:0004455	23.3364	46.0472	5.5746
GO:0004457	1e-05	1e-05	0.048681
GO:0004459	42.5249	69.7876	3.46493
GO:0004462	1e-05	1e-05	1e-05
GO:0004467	9.61261	10.064	1.53993
GO:0004471	33.2483	50.5356	15.3671
GO:0004473	1e-05	1e-05	0.0227
GO:0004474	1e-05	1e-05	0.18194
GO:0004476	41.048	37.9514	103.536
GO:0004477	33.947	41.1356	23.0533
GO:0004478	25.0474	35.7417	30.3955
GO:0004479	5.62521	10.9253	4.75229
GO:0004488	25.4072	32.8006	13.5779
GO:0004489	8.30787	10.5936	2.36653
GO:0004492	1e-05	1e-05	0.0764362
GO:0004493	8.48653	8.23365	11.3162
GO:0004494	36.8775	30.2736	36.1934
GO:0004496	1e-05	1e-05	0.0638711
GO:0004497	1e-05	1e-05	0.0551702
GO:0004512	0.471046	0.292504	0.152362
GO:0004514	93.7577	69.951	92.4722
GO:0004515	22.6749	22.0643	5.16524
GO:0004516	4.54108	3.20363	1.62198
GO:0004518	56.1026	93.3309	77.3728
GO:0004519	135.311	164.86	62.1174
GO:0004520	1e-05	1e-05	0.117413
GO:0004521	113.639	134.103	63.9481
GO:0004523	46.736	59.4974	18.1838
GO:0004525	24.6458	40.0227	4.14681
GO:0004526	53.3508	66.7246	9.63527
GO:0004527	42.542	40.733	17.8597
GO:0004530	1e-05	1e-05	0.0871057
GO:0004534	7.60394	10.3592	0.768105
GO:0004540	16.4999	22.6071	3.7098
GO:0004549	19.5707	22.0906	3.27018
GO:0004550	240.466	295.443	164.016
GO:0004553	431.3	464.875	274.423
GO:0004555	0.222825	1e-05	0.0972162
GO:0004556	52.6217	40.8794	102.101
GO:0004557	1e-05	1e-05	0.0402961
GO:0004558	1e-05	1e-05	0.016867
GO:0004559	1e-05	1e-05	1e-05
GO:0004563	0.493599	2.15053	1.49941
GO:0004565	768.067	1e-05	2179.04
GO:0004568	9.09723	8.80582	5.29947
GO:0004576	0.231305	0.391592	0.228774
GO:0004585	22.6192	19.2095	53.6485
GO:0004586	0.0220119	1e-05	0.0726691
GO:0004588	4.54302	7.53597	6.57437
GO:0004589	4.48253	5.48275	0.944407
GO:0004590	3.98668	4.5419	2.30925
GO:0004591	1e-05	1e-05	0.00916263
GO:0004592	30.1788	35.9722	32.396
GO:0004594	87.0918	106.926	33.3553
GO:0004595	71.6573	82.5294	17.8463
GO:0004596	0.135454	1e-05	0.0736413
GO:0004601	656.057	790.92	283.434
GO:0004604	17.7178	28.8948	0.170566
GO:0004605	30.6151	30.7983	39.0069
GO:0004609	0.172802	0.35766	0.0296752
GO:0004612	106.482	47.5127	189.959
GO:0004613	74.5875	65.064	3.81639
GO:0004614	31.8566	38.8424	4.60829
GO:0004615	39.1816	23.6157	18.1422
GO:0004616	0.118855	1e-05	0.128496
GO:0004617	0.126027	0.326855	0.0564826
GO:0004618	308.669	275.861	116.198
GO:0004619	1e-05	1e-05	0.0757071
GO:0004622	1e-05	1e-05	0.0556806
GO:0004632	12.7659	18.6416	6.30447
GO:0004633	12.7659	18.6416	6.30447
GO:0004634	66.4705	66.6584	49.83
GO:0004635	7.12207	13.1668	5.267
GO:0004636	7.12207	12.643	5.61176
GO:0004637	3.38465	3.38472	2.48142
GO:0004638	0.0982867	1e-05	0.0529585
GO:0004639	27.5697	35.4669	17.3501
GO:0004640	205.588	91.8732	19.0113
GO:0004641	4.4925	8.12476	3.36893
GO:0004642	32.3531	27.1087	40.4669
GO:0004643	2.16578	2.87719	1.61829
GO:0004644	2.51355	4.85765	2.68215
GO:0004645	28.296	24.7419	31.3666
GO:0004647	0.379841	0.348792	0.145095
GO:0004648	30.0663	38.8084	3.83627
GO:0004652	0.0742451	1e-05	1e-05
GO:0004654	56.928	69.6844	35.2737
GO:0004655	11.1226	17.2936	0.146456
GO:0004657	1e-05	1e-05	0.00636766
GO:0004658	20.9167	24.1489	39.7308
GO:0004659	52.4815	60.4989	57.9151
GO:0004664	13.3233	18.4487	2.13837
GO:0004665	12.9249	16.9319	3.62641
GO:0004672	288.997	264.399	82.9682
GO:0004673	82.1481	109.279	18.1018
GO:0004674	51.0405	61.5723	24.267
GO:0004683	1e-05	1e-05	0.0556077
GO:0004712	0.0620212	0.192435	0.116927
GO:0004713	0.0892204	1e-05	0.0241339
GO:0004715	0.150339	0.0778049	0.0810054
GO:0004719	0.714034	1e-05	0.198345
GO:0004721	34.6039	43.7269	25.5691
GO:0004722	53.3818	47.8396	15.2474
GO:0004725	65.5947	70.367	19.8057
GO:0004730	3.26796	3.38192	2.14196
GO:0004731	35.7072	38.8967	30.3905
GO:0004733	55.7947	61.2934	5.39805
GO:0004735	19.5061	20.7372	2.63074
GO:0004736	6.13248	6.56217	3.97206
GO:0004739	1e-05	1e-05	1.98204
GO:0004743	221.728	172.006	82.4715
GO:0004746	6.95806	13.4274	1.34139
GO:0004747	3.79218	2.57876	1.86507
GO:0004748	40.6825	48.3415	48.5727
GO:0004749	47.9149	63.8724	25.8198
GO:0004750	8.44522	17.1768	5.39212
GO:0004751	124.917	125.483	49.8821
GO:0004756	13.667	11.4487	6.75728
GO:0004760	8.1666	12.1893	0.675045
GO:0004764	5.09463	8.3528	1.88687
GO:0004765	28.9213	58.3682	7.55472
GO:0004766	103.968	101.487	100.619
GO:0004775	0.0935055	0.0984813	0.235458
GO:0004777	1e-05	1e-05	0.0781861
GO:0004781	1e-05	1e-05	0.178149
GO:0004783	1e-05	1e-05	0.119503
GO:0004784	1.8808	1.27629	4.87415
GO:0004788	3.07797	3.55924	5.79525
GO:0004789	6.74746	3.12984	0.554497
GO:0004791	63.4653	73.3668	64.0547
GO:0004792	1e-05	2.16575	1.44726
GO:0004794	0.0536766	1e-05	0.231423
GO:0004795	53.8604	60.0156	9.81458
GO:0004797	14.601	14.4913	18.8045
GO:0004798	10.5069	8.03234	8.03055
GO:0004799	19.7148	26.1716	4.57164
GO:0004801	341.745	314.936	135.498
GO:0004802	1e-05	1e-05	0.0263942
GO:0004803	182.093	207.17	58.5931
GO:0004805	0.139198	0.217079	0.159945
GO:0004807	200.672	212.122	77.1909
GO:0004808	1e-05	1e-05	0.0261755
GO:0004809	1.08255	1e-05	0.129638
GO:0004810	7.55085	11.1752	3.55738
GO:0004812	29.2281	47.4323	15.1402
GO:0004813	59.1364	63.3028	39.1828
GO:0004814	82.7605	81.1343	56.0024
GO:0004815	21.0763	18.8851	22.1682
GO:0004816	29.1304	37.2307	19.6819
GO:0004817	13.8677	19.893	15.3008
GO:0004818	19.5978	21.199	19.5228
GO:0004819	13.4457	19.5644	2.33414
GO:0004820	22.9982	29.2836	21.0726
GO:0004821	22.8885	32.2198	16.6032
GO:0004822	27.5199	36.2954	55.3052
GO:0004823	40.1434	48.628	34.9474
GO:0004824	28.9729	45.396	39.3415
GO:0004825	21.7407	23.1781	27.3954
GO:0004826	54.7231	61.5136	44.7069
GO:0004827	30.0157	43.043	24.4778
GO:0004828	15.8953	22.8286	9.74398
GO:0004829	78.2368	102.467	54.6655
GO:0004830	20.8027	34.2073	16.3532
GO:0004831	9.56417	13.212	2.45872
GO:0004832	38.9705	32.3909	52.0385
GO:0004834	58.2156	76.923	34.9117
GO:0004837	1e-05	0.148609	0.0258109
GO:0004844	1e-05	1e-05	0.315126
GO:0004845	100.679	103.989	34.1021
GO:0004849	25.477	45.4046	25.3401
GO:0004850	1e-05	1e-05	0.0792312
GO:0004851	8.00954	12.9279	0.0653536
GO:0004852	8.14323	12.9279	0.179631
GO:0004853	166.82	155.443	0.42605
GO:0004854	1e-05	1e-05	0.048438
GO:0004855	1e-05	1e-05	1e-05
GO:0004856	1e-05	1e-05	0.0744919
GO:0004866	1e-05	1e-05	0.00556563
GO:0004871	115.392	103.371	60.9528
GO:0004872	0.306498	1e-05	0.102053
GO:0004984	0.379841	1e-05	0.361523
GO:0005048	1e-05	1e-05	0.195599
GO:0005198	54.2393	52.5408	46.1574
GO:0005215	980.806	748.621	1195.17
GO:0005216	60.8524	80.209	40.9234
GO:0005247	12.5762	16.2138	6.62701
GO:0005262	1e-05	1e-05	0.0880536
GO:0005267	1e-05	1e-05	0.0557049
GO:0005304	1e-05	1e-05	0.26941
GO:0005315	22.8459	28.4383	124.431
GO:0005328	41.6894	27.1758	107.983
GO:0005337	1e-05	1e-05	0.0446465
GO:0005344	1e-05	1e-05	0.0466881
GO:0005345	5.65101	4.17556	13.3964
GO:0005351	28.6952	20.5231	92.864
GO:0005354	1e-05	1e-05	0.0354596
GO:0005355	0.140506	1e-05	0.0756585
GO:0005363	144.991	63.4878	134.162
GO:0005384	0.525489	3.44363	0.722244
GO:0005385	0.113894	1e-05	1e-05
GO:0005388	21.4531	20.2817	16.1674
GO:0005415	1e-05	1e-05	0.0461534
GO:0005451	55.0211	36.0767	172.359
GO:0005506	14153.7	17413.2	5874.12
GO:0005507	233.029	301.665	67.6057
GO:0005509	28.4955	32.1759	9.88152
GO:0005524	8619.61	8938.68	6951.27
GO:0005525	1126.04	1346.5	853.89
GO:0005528	1e-05	1e-05	0.103098
GO:0005534	1e-05	1e-05	0.120475
GO:0005542	45.4751	12.9166	38.7195
GO:0005543	1e-05	1e-05	0.0500177
GO:0008026	0.22481	0.0581553	0.0605657
GO:0008047	6.11376	1.42733	3.2277
GO:0008073	0.072937	1e-05	0.0983099
GO:0008080	86.2902	116.49	53.3797
GO:0008081	1e-05	1e-05	0.0576492
GO:0008094	215.153	200.034	92.6392
GO:0008097	39.2528	69.2967	48.9648
GO:0008106	1e-05	1e-05	0.105261
GO:0008108	5.45755	13.7924	9.59595
GO:0008113	2.76349	4.97825	2.57249
GO:0008115	19.3698	21.0834	24.9721
GO:0008121	0.539201	0.787664	0.170857
GO:0008131	1e-05	1e-05	0.0686346
GO:0008134	1e-05	1e-05	0.0430911
GO:0008137	194.803	277.482	129.292
GO:0008138	0.177945	1e-05	0.0208286
GO:0008143	1.62162	2.22096	0.759696
GO:0008168	498.277	536.732	237.164
GO:0008170	9.05695	12.183	5.71087
GO:0008171	0.36897	2.00458	0.298211
GO:0008173	56.8976	62.4136	78.7149
GO:0008175	6.28341	6.57398	0.704259
GO:0008176	21.4238	28.1802	7.51027
GO:0008177	1e-05	1e-05	0.0830956
GO:0008184	15.9337	19.177	16.2507
GO:0008186	79.552	72.1542	58.6358
GO:0008198	73.359	66.9811	66.2489
GO:0008199	280.451	275.561	244.566
GO:0008233	303.083	272.723	284.145
GO:0008234	81.924	96.3913	48.7174
GO:0008235	0.726528	1.84039	0.355301
GO:0008236	179.155	196.898	208.606
GO:0008237	246.054	188.44	197.023
GO:0008239	0.688639	1.84039	0.309172
GO:0008251	1e-05	1e-05	0.068659
GO:0008252	0.116555	1e-05	1e-05
GO:0008253	126.106	78.9888	313.619
GO:0008254	0.161661	1e-05	1e-05
GO:0008263	1e-05	1e-05	0.272497
GO:0008270	1221.71	1306.46	669.065
GO:0008271	101.512	113.725	1.03295
GO:0008273	1e-05	1e-05	0.0880536
GO:0008276	33.4719	41.3588	22.1573
GO:0008289	444.885	688.862	71.0235
GO:0008296	0.0450612	1e-05	0.00811755
GO:0008310	0.0705914	1e-05	1e-05
GO:0008312	26.5458	33.6807	14.2021
GO:0008320	1e-05	1e-05	0.621406
GO:0008324	131.749	102.417	195.168
GO:0008375	0.0383855	1e-05	1e-05
GO:0008381	1e-05	1e-05	0.132797
GO:0008408	153.56	133.618	147.012
GO:0008409	15.8033	18.9304	3.56587
GO:0008410	1e-05	1e-05	0.0227486
GO:0008412	0.0623821	1e-05	0.100838
GO:0008413	1.64873	0.189728	0.296388
GO:0008417	1e-05	1e-05	0.13061
GO:0008422	199.836	159.011	44.539
GO:0008425	1e-05	1e-05	1e-05
GO:0008444	25.0534	30.4238	4.70906
GO:0008448	65.1811	40.6153	93.7033
GO:0008452	28.5783	27.7125	29.3218
GO:0008453	31.8029	25.3463	20.0107
GO:0008460	0.305956	1e-05	0.163955
GO:0008470	0.0611642	1e-05	0.065864
GO:0008474	1e-05	1e-05	0.17567
GO:0008478	1e-05	1e-05	0.0681243
GO:0008479	7.99046	9.44072	3.17673
GO:0008483	1492.57	1640.97	285.136
GO:0008484	15.2274	21.2246	2.43826
GO:0008495	0.122238	1e-05	0.0657425
GO:0008519	0.248536	0.342864	0.11158
GO:0008531	21.3303	25.3447	13.6867
GO:0008534	5.56125	8.53306	0.769102
GO:0008551	1.79235	1.36716	3.865
GO:0008556	0.835325	1e-05	1e-05
GO:0008559	1e-05	1e-05	0.090168
GO:0008565	29.6107	29.5112	15.6629
GO:0008609	1e-05	1e-05	0.0372581
GO:0008641	91.2569	109.636	44.388
GO:0008649	15.6598	19.5737	3.10856
GO:0008650	0.561123	1e-05	0.099914
GO:0008657	1e-05	1e-05	0.150029
GO:0008658	33.0026	39.5217	24.5186
GO:0008661	69.5775	96.8244	69.9209
GO:0008662	47.5948	34.7227	58.606
GO:0008663	1.26117	2.4759	2.36858
GO:0008664	20.1844	21.541	12.351
GO:0008667	1e-05	1e-05	0.0814186
GO:0008670	0.144836	1e-05	0.039008
GO:0008671	1e-05	1e-05	0.112528
GO:0008672	1e-05	1e-05	0.0695339
GO:0008673	0.567393	1e-05	0.0623156
GO:0008674	1e-05	1e-05	0.103876
GO:0008675	0.183357	1e-05	1e-05
GO:0008676	0.0639608	1e-05	1e-05
GO:0008677	1e-05	1e-05	0.103171
GO:0008678	1e-05	1e-05	1.43953
GO:0008679	1e-05	1e-05	0.0661313
GO:0008684	0.205008	1e-05	1e-05
GO:0008685	19.3042	21.9113	21.76
GO:0008686	10.3732	14.6606	2.6036
GO:0008691	1e-05	1e-05	0.0760717
GO:0008692	1e-05	1e-05	0.0966572
GO:0008694	1e-05	1e-05	0.0361644
GO:0008695	0.0765455	1e-05	0.172632
GO:0008697	0.0656748	1e-05	1e-05
GO:0008700	0.183357	1e-05	1e-05
GO:0008703	1e-05	1e-05	0.0509413
GO:0008704	67.3938	46.3509	37.2074
GO:0008705	5.56969	9.14238	1.26418
GO:0008706	1e-05	1e-05	0.239638
GO:0008709	1e-05	1e-05	0.157247
GO:0008710	165.645	99.9964	134.433
GO:0008712	1e-05	1e-05	0.124194
GO:0008713	0.0976553	1e-05	0.319452
GO:0008716	40.9874	34.4742	21.7048
GO:0008720	1e-05	1e-05	0.0311578
GO:0008721	7.6177	8.65483	13.8998
GO:0008725	0.324811	1e-05	0.234826
GO:0008728	5.60298	7.58619	11.2513
GO:0008730	1e-05	1e-05	0.0637981
GO:0008734	6.784	11.9143	2.06198
GO:0008736	0.0554808	1e-05	0.014947
GO:0008740	1e-05	1e-05	0.0437716
GO:0008742	3.5795	1.75824	6.26478
GO:0008743	11.4034	14.1858	1.41977
GO:0008744	0.267842	1e-05	0.0359457
GO:0008745	29.4947	36.1215	18.2657
GO:0008747	1e-05	1e-05	0.130659
GO:0008748	1e-05	1e-05	0.165389
GO:0008750	1e-05	1e-05	0.0392267
GO:0008752	1e-05	0.511776	0.0532988
GO:0008756	0.114796	1e-05	1e-05
GO:0008757	9.83756	10.6931	2.08456
GO:0008760	85.9788	118.21	38.5198
GO:0008761	61.2957	61.1861	41.9718
GO:0008762	36.3056	61.1795	14.6646
GO:0008763	3.98627	7.10517	6.90332
GO:0008764	41.878	58.8999	70.7605
GO:0008765	3.91428	6.35919	11.8484
GO:0008766	111.272	104.362	96.3152
GO:0008767	19.0439	28.828	15.2063
GO:0008768	1e-05	1e-05	0.0161622
GO:0008771	0.0994144	1e-05	0.080252
GO:0008772	0.056834	1e-05	0.0919179
GO:0008773	1e-05	1e-05	0.0576492
GO:0008774	9.70495	16.1959	0.677937
GO:0008775	0.211098	1e-05	0.0336125
GO:0008776	75.5669	74.8308	37.1161
GO:0008777	1e-05	1e-05	0.0727663
GO:0008779	1e-05	1e-05	0.0121034
GO:0008783	13.3354	13.7975	1.92333
GO:0008784	8.13114	12.431	5.94139
GO:0008785	159.194	159.381	16.7778
GO:0008786	0.300724	1e-05	1e-05
GO:0008787	0.404198	1e-05	1e-05
GO:0008791	1e-05	1e-05	0.0549272
GO:0008792	56.9077	65.9514	31.2184
GO:0008793	1e-05	1e-05	0.0698499
GO:0008794	1e-05	1e-05	0.231472
